id,name,bitrix_stage_id,category,regions,max_need_days,daily_quota,roi_score,active,budget_conditions,special_notes
stankoinkom_metal,Станкоинком,C12:UC_IVPCG4,Металлообработка,,180,13,100,TRUE,Токарные по металлу от 2 млн; Фрезерные по металлу от 2 млн; Ленточнопильные по металлу от 700 тыс; Листогибы только гидравлические от 2 млн,"Только новые станки. Китай/Тайвань/Корея - ок, только российские не берём. Не тендер."
stankoinkom_wood,Станкоинком,C12:UC_MI4T7X,Деревообработка,"Пермский край,Республика Коми,Удмуртская Республика,Республика Татарстан,Свердловская область,Самарская область,Саратовская область,Республика Башкортостан,Кировская область,Тюменская область,Нижегородская область,Пензенская область,Ульяновская область,Челябинская область,Москва,Московская область",180,10,100,TRUE,Станки для производства мебели от 700 тыс,Только новые станки. Форматно-раскроечные / кромкооблицовочные / сверлильно-присадочные с ЧПУ / фрезерные с ЧПУ. Не тендер. Только указанные регионы.
lidermash,Лидермаш,C12:UC_KZE4CX,Металлообработка,,180,17,100,TRUE,Станки лазерной резки от 300 тыс; Токарные станки от 3 млн; Промышленные роботы от 5 млн; Гибка металла (листогибы) от 2 млн; Фрезерные с ЧПУ от 3 млн,Промышленные (не настольные). Юрлицо или ИП - ок. Не тендер. Приоритет: лазерная резка и листогибы.
ke,Кросс Экспорт,C12:UC_7E9T2T,Металлообработка,,90,27,100,TRUE,Листогиб от 1.9 млн; Кривошипный пресс от 1 млн; Токарный станок с ЧПУ от 1.1 млн; Токарно-винторезный станок от 1.8 млн; Фрезерный станок с ЧПУ от 1.2 млн; Радиально-сверлильный станок от 1.8 млн; Станок лазерной резки с ЧПУ от 1.5 млн; Ленточнопильный станок от 650 тыс; Аппарат 3в1 (лазерная сварка/резка/очистка) от 300 тыс; Станки для ремонта ДВС - без ограничений; Стенды ТНВД и COMMON RAIL - без ограничений,Срок покупки до 3 месяцев. Есть склад - часть оборудования в наличии.
topstanki,ТОПСТАНКИ,C12:UC_OO8YXU,"Металлообработка,Деревообработка",,90,0,100,TRUE,Фрезерные станки с ЧПУ (дерево/камень/пластик) от 250 тыс; Панелегибы от 10 млн; Лазерные труборезы и листорезы - уточнять у партнёра; Лазерные чистки/сварки/3в1 - уточнять; Кромкооблицовочные станки - уточнять,Промышленные (не настольные). Не тендер (внутренний конкурс - ок). Металло- и деревообработка.
dominik,Доминик,C12:UC_GZ25MS,Электроэрозионные,,9999,1,100,TRUE,Электроэрозионные/EDM станки от 1 млн,Ключевые слова: проволочный станок / эрозия / EDM / прожиг отверстий - всё в Доминик. Промышленные (не настольные). Не тендер. Срок - без ограничений.
sps_techno,СПС Техно,C12:UC_2T124W,Деревообработка,"Республика Алтай,Республика Тыва,Республика Хакасия,Алтайский край,Красноярский край,Иркутская область,Кемеровская область,Новосибирская область,Омская область,Томская область,Республика Бурятия,Забайкальский край",9999,0,100,TRUE,Без ограничений по бюджету,Промышленные для мебельных/деревообрабатывающих производств. Кроме пилорам. Новое и БУ. Производство мебели / столярные / двери - их клиент. Только СФО + Бурятия/Забайкалье.
rso,РСО,C12:UC_TMOZK3,Металлообработка,,180,1,100,TRUE,Токарные универсальные - не указан; Фрезерные универсальные - не указан,Только универсальные токарные и фрезерные станки. Прямая покупка (не тендер). Срок до 6 мес.
